sender_acc,receiver_acc,amount,timestamp
ACC_001,ACC_002,50000,2026-03-12 12:00:00
ACC_002,ACC_003,150000,2026-03-12 14:30:00
ACC_1001,ACC_2002,50000.00,2026-09-01T12:00:00
ACC_2002,ACC_3003,49000.00,2026-09-01T14:30:00
ACC_3003,ACC_9999,48500.00,2026-09-02T10:00:00
ACC_4004,ACC_1001,150000.00,2026-09-03T09:15:00
ACC_2002,ACC_5005,10000.00,2026-09-03T11:00:00
ACC_5005,ACC_9999,9500.00,2026-09-04T15:45:00
ACC_6006,ACC_3003,75000.00,2026-09-05T08:30:00
ACC_7007,ACC_5005,32000.00,2026-09-06T10:15:00
ACC_8008,ACC_2002,88000.00,2026-09-07T11:20:00
ACC_1001,ACC_9999,120000.00,2026-09-08T14:00:00
